id,lastUpdated,clinic_type,queue,wait_time,treat_time,total_time
BELWIC,2024-10-15T22:58:30.148+11:00,WIC,0,0:54,0:53,1:47
GUNWIC,2024-10-15T22:58:30.148+11:00,WIC,0,1:21,0:47,2:08
DICWIC,2024-10-15T22:58:30.148+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T22:58:30.148+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:58:30.148+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T22:58:00.000+11:00,ED,20,3:34,2:48,6:22
NORHOSED,2024-10-15T22:58:00.000+11:00,ED,14,2:33,3:13,5:46
BELWIC,2024-10-15T22:59:30.154+11:00,WIC,0,0:54,0:54,1:48
GUNWIC,2024-10-15T22:59:30.154+11:00,WIC,0,1:21,0:48,2:09
DICWIC,2024-10-15T22:59:30.154+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T22:59:30.154+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:59:30.154+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T22:59:00.000+11:00,ED,20,3:34,2:48,6:22
NORHOSED,2024-10-15T22:59:00.000+11:00,ED,15,2:37,3:13,5:50
BELWIC,2024-10-15T23:00:30.143+11:00,WIC,0,0:54,0:55,1:49
GUNWIC,2024-10-15T23:00:30.143+11:00,WIC,0,1:21,0:49,2:10
DICWIC,2024-10-15T23:00:30.143+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:00:30.143+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T23:00:30.143+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:00:00.000+11:00,ED,20,3:34,2:48,6:22
NORHOSED,2024-10-15T23:00:00.000+11:00,ED,15,2:37,3:13,5:50
BELWIC,2024-10-15T23:01:30.145+11:00,WIC,0,0:54,0:56,1:50
GUNWIC,2024-10-15T23:01:30.145+11:00,WIC,0,1:21,0:50,2:11
DICWIC,2024-10-15T23:01:30.145+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:01:30.145+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T23:01:30.145+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:00:00.000+11:00,ED,20,3:34,2:48,6:22
NORHOSED,2024-10-15T23:00:00.000+11:00,ED,15,2:37,3:13,5:50
BELWIC,2024-10-15T23:02:30.144+11:00,WIC,0,0:54,0:57,1:51
GUNWIC,2024-10-15T23:02:30.144+11:00,WIC,0,1:21,0:51,2:12
DICWIC,2024-10-15T23:02:30.144+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:02:30.144+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:02:30.144+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:00:00.000+11:00,ED,20,3:34,2:48,6:22
NORHOSED,2024-10-15T23:00:00.000+11:00,ED,15,2:37,3:13,5:50
BELWIC,2024-10-15T23:03:30.186+11:00,WIC,0,0:54,0:58,1:52
GUNWIC,2024-10-15T23:03:30.186+11:00,WIC,0,1:21,0:52,2:13
DICWIC,2024-10-15T23:03:30.186+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:03:30.186+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:03:30.186+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:03:00.000+11:00,ED,19,3:31,2:44,6:15
NORHOSED,2024-10-15T23:03:00.000+11:00,ED,15,2:37,3:13,5:50
BELWIC,2024-10-15T23:04:30.158+11:00,WIC,0,0:54,0:59,1:53
GUNWIC,2024-10-15T23:04:30.158+11:00,WIC,0,1:21,0:53,2:14
DICWIC,2024-10-15T23:04:30.158+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:04:30.158+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:04:30.158+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:03:00.000+11:00,ED,19,3:31,2:44,6:15
NORHOSED,2024-10-15T23:03:00.000+11:00,ED,15,2:37,3:13,5:50
BELWIC,2024-10-15T23:05:30.158+11:00,WIC,0,0:54,1:00,1:54
GUNWIC,2024-10-15T23:05:30.158+11:00,WIC,0,1:21,0:54,2:15
DICWIC,2024-10-15T23:05:30.158+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:05:30.158+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:05:30.158+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:03:00.000+11:00,ED,19,3:31,2:44,6:15
NORHOSED,2024-10-15T23:03:00.000+11:00,ED,15,2:37,3:13,5:50
BELWIC,2024-10-15T23:06:30.150+11:00,WIC,0,0:54,0:00,0:54
GUNWIC,2024-10-15T23:06:30.150+11:00,WIC,0,1:21,0:55,2:16
DICWIC,2024-10-15T23:06:30.150+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:06:30.150+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:06:30.150+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:05:00.000+11:00,ED,19,3:28,2:57,6:25
NORHOSED,2024-10-15T23:05:00.000+11:00,ED,16,2:37,3:17,5:54
BELWIC,2024-10-15T23:07:30.157+11:00,WIC,0,0:54,0:00,0:54
GUNWIC,2024-10-15T23:07:30.157+11:00,WIC,0,1:21,0:56,2:17
DICWIC,2024-10-15T23:07:30.157+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:07:30.157+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:07:30.157+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:05:00.000+11:00,ED,19,3:28,2:57,6:25
NORHOSED,2024-10-15T23:05:00.000+11:00,ED,16,2:37,3:17,5:54
BELWIC,2024-10-15T23:08:30.149+11:00,WIC,0,0:54,0:00,0:54
GUNWIC,2024-10-15T23:08:30.149+11:00,WIC,0,1:21,0:57,2:18
DICWIC,2024-10-15T23:08:30.149+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:08:30.149+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:08:30.149+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:07:00.000+11:00,ED,19,3:28,2:59,6:27
NORHOSED,2024-10-15T23:07:00.000+11:00,ED,15,2:37,3:17,5:54
BELWIC,2024-10-15T23:09:30.169+11:00,WIC,0,0:54,0:00,0:54
GUNWIC,2024-10-15T23:09:30.169+11:00,WIC,0,1:21,0:58,2:19
DICWIC,2024-10-15T23:09:30.169+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:09:30.169+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:09:30.169+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T23:07:00.000+11:00,ED,19,3:28,2:59,6:27
NORHOSED,2024-10-15T23:07:00.000+11:00,ED,15,2:37,3:17,5:54
BELWIC,2024-10-15T23:10:30.144+11:00,WIC,0,0:53,0:00,0:53
GUNWIC,2024-10-15T23:10:30.144+11:00,WIC,0,1:21,0:59,2:20
DICWIC,2024-10-15T23:10:30.144+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T23:10:30.144+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:10:30.144+11:00,WIC,0,0:38,0:00,0:38
CBRHOSED,2024-10-15T23:09:00.000+11:00,ED,20,3:25,2:53,6:18
NORHOSED,2024-10-15T23:09:00.000+11:00,ED,15,2:37,3:17,5:54
BELWIC,2024-10-15T23:11:30.149+11:00,WIC,0,0:53,0:00,0:53
GUNWIC,2024-10-15T23:11:30.149+11:00,WIC,0,1:21,1:00,2:21
DICWIC,2024-10-15T23:11:30.149+11:00,WIC,0,1:51,0:00,1:51
TUGWIC,2024-10-15T23:11:30.149+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:11:30.149+11:00,WIC,0,0:38,0:00,0:38
CBRHOSED,2024-10-15T23:09:00.000+11:00,ED,20,3:25,2:53,6:18
NORHOSED,2024-10-15T23:09:00.000+11:00,ED,15,2:37,3:17,5:54
BELWIC,2024-10-15T23:12:30.153+11:00,WIC,0,0:53,0:00,0:53
GUNWIC,2024-10-15T23:12:30.153+11:00,WIC,0,1:08,0:00,1:08
DICWIC,2024-10-15T23:12:30.153+11:00,WIC,0,1:51,0:00,1:51
TUGWIC,2024-10-15T23:12:30.153+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:12:30.153+11:00,WIC,0,0:38,0:00,0:38
CBRHOSED,2024-10-15T23:11:00.000+11:00,ED,19,3:25,2:56,6:21
NORHOSED,2024-10-15T23:11:00.000+11:00,ED,14,2:37,3:17,5:54
BELWIC,2024-10-15T23:13:30.145+11:00,WIC,0,0:53,0:00,0:53
GUNWIC,2024-10-15T23:13:30.145+11:00,WIC,0,1:08,0:00,1:08
DICWIC,2024-10-15T23:13:30.145+11:00,WIC,0,1:51,0:00,1:51
TUGWIC,2024-10-15T23:13:30.145+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:13:30.145+11:00,WIC,0,0:28,0:00,0:28
CBRHOSED,2024-10-15T23:11:00.000+11:00,ED,19,3:25,2:56,6:21
NORHOSED,2024-10-15T23:11:00.000+11:00,ED,14,2:37,3:17,5:54
BELWIC,2024-10-15T23:14:30.144+11:00,WIC,0,0:53,0:00,0:53
GUNWIC,2024-10-15T23:14:30.144+11:00,WIC,0,1:08,0:00,1:08
DICWIC,2024-10-15T23:14:30.144+11:00,WIC,0,1:51,0:00,1:51
TUGWIC,2024-10-15T23:14:30.144+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:14:30.144+11:00,WIC,0,0:28,0:00,0:28
CBRHOSED,2024-10-15T23:13:00.000+11:00,ED,19,3:25,2:49,6:14
NORHOSED,2024-10-15T23:13:00.000+11:00,ED,14,2:33,3:10,5:43
BELWIC,2024-10-15T23:15:30.144+11:00,WIC,0,0:54,0:00,0:54
GUNWIC,2024-10-15T23:15:30.144+11:00,WIC,0,1:08,0:00,1:08
DICWIC,2024-10-15T23:15:30.144+11:00,WIC,0,1:51,0:00,1:51
TUGWIC,2024-10-15T23:15:30.144+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:15:30.144+11:00,WIC,0,0:28,0:00,0:28
CBRHOSED,2024-10-15T23:13:00.000+11:00,ED,19,3:25,2:49,6:14
NORHOSED,2024-10-15T23:13:00.000+11:00,ED,14,2:33,3:10,5:43
BELWIC,2024-10-15T23:16:30.148+11:00,WIC,0,0:54,0:00,0:54
GUNWIC,2024-10-15T23:16:30.148+11:00,WIC,0,1:08,0:00,1:08
DICWIC,2024-10-15T23:16:30.148+11:00,WIC,0,1:51,0:00,1:51
TUGWIC,2024-10-15T23:16:30.148+11:00,WIC,0,0:27,0:00,0:27
WECWIC,2024-10-15T23:16:30.148+11:00,WIC,0,0:28,0:00,0:28
CBRHOSED,2024-10-15T23:15:00.000+11:00,ED,19,3:25,2:49,6:14
NORHOSED,2024-10-15T23:15:00.000+11:00,ED,14,2:33,3:10,5:43
